Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
49,Francis JOURDAIN,française,"1876, Paris (France) - 1958, Paris (France)",Chaise,Mobilier,1,1910,Achat à M. Laurent Moos en 2006,85 x 42 x 44 cm,Bois et canne,1910,2006,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
50,Peter BEHRENS,allemande,"1868, Hambourg (Allemagne) - 1940, Berlin (Allemagne)",Bouilloire électrique,Design Industriel,4,1909 - 1910,Don de la Société des Amis du Musée national d'art moderne en 2000,"hauteur: 20 cm
diamètre: 15 cm",Laiton nickelé. Anse recouverte d'osier,1910,2000,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
51,Paul POIRET,française,"1879, Paris (France) - 1944, Paris (France)",Pendentif,Design Vestimentaire ,6,vers 1910,Don de Mme Guillot en 1952,9 x 13 cm,Écaille ajourée,1910,1952,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/cloth.svg,,,,
52,Charles GREBER,française,"1853, Beauvais (Oise, France) - 1935, Beauvais (Oise, France)",Vase,Design d'Objet,3,1910,"Achat de l'Etat, 1911
Attribution, 1911",hauteur: 22 cm,Grès émaillé,1910,1911,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
53,Henri SIMMEN,française,"1879, Montdidier (Somme, France) - 1964, ?",Vase,Design d'Objet,3,1910,"Achat de l'Etat, 1911
Attribution, 1916","hauteur: 29 cm
diamètre: 12 cm",Grès au sel partiellement émaillé,1910,1916,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
54,ANONYME,unkown,,Machine à écrire,Design Industriel,4,1910,Inscription à l'inventaire en 2000,8 x 28 x 16 cm,Métal,1910,2000,Inscription,Unknown,http://localhost/Graphique%20Pompidou/Extra/industrie.svg,,,,
55,Charles HAIRON,française,"1880, Bordeaux (Gironde, France) - 1962, Paris (France)",Poudrier,Design d'Objet,3,vers 1911,"Achat de l'Etat, 1911
Attribution, 1912","hauteur: 7,2 cm
diamètre: 8,6 cm",Ivoire tourné et sculpté,1911,1912,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
56,François DECORCHEMONT,française,"1880, Conches (Seine-et-Marne, France) - 1971, Conches (Seine-et-Marne, France)",Statuette Esterelle,Design d'Objet,3,1910 - 1911,"Achat de l'Etat, 1911
Attribution","24 x 16,5 x 19,3 cm",Pâte de verre teintée,1911,1911,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
57,Georges BASTARD,française,"1881, Andeville (Oise, France) - 1939, Espagne",Eventail Epis d'orge,Design d'Objet,3,1911,"Achat de l'Etat, 1912
Attribution, 1913","21,1 x 38,7 cm","Corne, ruban de soie, nacre, rivet et tenons en métal",1911,1913,Etat,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
58,Emile DECOEUR,française,"1876, Paris (France) - 1953, Fontenay-aux-Roses (Hauts-de-Seine, France)",Fond de vase,Design d'Objet,3,1911,Legs de M. Atherton Curtis en 1957,"hauteur: 10 cm
diamètre: 13,5 cm",Grès à glaçure blanche,1911,1957,Legs,Homme,http://localhost/Graphique%20Pompidou/Extra/Objet.svg,,,,
