Group,Nom,Nationalité,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,img,,,,
4529,GRAPUS,française,,Affiche Nye tendenser i Fransk Mobeldesign,Design Graphique/ Illustration,2,1989,Donation du V.I.A./ Valorisation de l'innovation dans l'ameublement en 2010,60 x 40 cm,Impression offset couleur,1989,2010,Donation,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4530,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Culture de l'objet, objet de culture",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,69.5 x 50.1 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4531,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Culture de l'objet, objet de culture",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4532,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche Europan 89,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,69.5 x 48 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4533,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche Erik Gunnar Asplund 1885 - 1940,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4534,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche L'étrange univers de Carlo Mollino 1905-1973,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,69.5 x 51 cm,Impression offset contrecollée sur carton épais,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4535,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Emile Aillaud, oeuvres graphiques",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 49.9 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4536,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche L'étrange univers de Carlo Mollino 1905-1973,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4537,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Yves Saint Laurent, photographies de mode",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4538,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Emile Aillaud, oeuvres graphiques",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,69.5 x 50.9 cm,Impression offset contrecollée sur carton épais,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4539,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche Europan 89,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 48.5 cm,Impression offset contrecollée sur carton épais,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4540,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Emile Aillaud, oeuvres graphiques",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,69.8 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4541,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Culture de l'objet, objet de culture",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50.5 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4542,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche L'étrange univers de Carlo Mollino 1905-1973,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4543,VISUEL DESIGN JEAN WIDMER,suisse,,"Affiche Yves Saint Laurent, photographies de mode",Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4544,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche Erik Gunnar Asplund 1885 - 1940,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4545,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche Mobilier suisse. Création. Invention,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,69.6 x 50.5 cm,Impression offset,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4546,VISUEL DESIGN JEAN WIDMER,suisse,,Affiche Mobilier suisse. Création. Invention,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 1992,70 x 50.5 cm,impression offset contrecollée sur carton épais,1989,1992,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4547,VISUEL DESIGN JEAN WIDMER,suisse,,Architectures et régimes totalitaires,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 2005,75 x 50 cm,Impression offset,1989,2005,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4548,VISUEL DESIGN JEAN WIDMER,suisse,,Architectures et régimes totalitaires,Design Graphique/ Illustration,2,1989,Inscription à l'inventaire en 2005,75 x 50 cm,Impression offset,1989,2005,Inscription,Studio/ Group,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4549,George James SOWDEN,britannique,"1942, Leeds (Royaume-Uni)",Prototype de fauteuil,Mobilier,1,1990,Achat à la Casa d'Aste Della Rocca en 2020,87 x 67 x 90 cm,"Bois, bois laqué, mousse, feutrine, laine",1990,2020,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4550,Ron ARAD,"israélienne, britannique","1951, Tel Aviv (Israël)",Fauteuil Big Soft Easy,Mobilier,1,1990,Achat en 1992,92 x 125 x 93 cm,Rembourrage en polyuréthane et structure bois. Revêtement en textile chaîne et trame de 100% laine grattée de couleur  rouge vif. Mousse des accotoirs bisautées.,1990,1992,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4551,Ettore SOTTSASS,italienne (autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)","""De Chirico"" (projet pour la série ""Mobili Torre"", pour l'exposition ""Energie"" au Stedelijk Museum)",Design Graphique/ Illustration,2,1990,"Achat à Mme Maria-Assunta Radice en 2013
grâce à la Clarence Westbury Foundation","35,9 x 28 cm",Graphite sur papier vélin,1990,2013,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4552,Ettore SOTTSASS,italienne (autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)","""1990 Continuare a lavorare""",Design Graphique/ Illustration,2,1990,"Achat à Mme Maria-Assunta Radice en 2013
grâce à la Clarence Westbury Foundation",,Graphite sur papier vélin,1990,2013,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4553,Ettore SOTTSASS,italienne (autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)","""Armadio Regale"" (projet pour la série ""Mobili Torre"", pour l'exposition ""Energie"" au Stedelijk Museum)",Design Graphique/ Illustration,2,1990,"Achat à Mme Maria-Assunta Radice en 2013
grâce à la Clarence Westbury Foundation","29,8 x 21,2 cm",Graphite et pastel à la cire sur papier quadrillé,1990,2013,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4554,Ettore SOTTSASS,italienne (autrichienne à la naissance),"1917, Innsbruck (Autriche) - 2007, Milan (Italie)",Sans titre,Design Graphique/ Illustration,2,6 octobre 1990,"Achat à Mme Maria-Assunta Radice en 2013
grâce à la Clarence Westbury Foundation","28 x 35,5 cm","Gouache aquarellée, pastel à la cire et graphite sur papier vélin de fort grammage",1990,2013,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4555,Roman CIESLEWICZ,française depuis 1971 (polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)",Affiche JAZZZ,Design Graphique/ Illustration,2,1990,Achat à l'artiste en 1991,156 x 100 cm,Impression offset,1990,1991,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4556,Roman CIESLEWICZ,française depuis 1971 (polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)","Affiche Montluçon, la ville c'est vous",Design Graphique/ Illustration,2,1990,Achat à l'artiste en 1991,176 x 120 cm,Impression offset,1990,1991,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4557,Roman CIESLEWICZ,française depuis 1971 (polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)","Affiche TBBlues Rythm and Blues, Soul Music",Design Graphique/ Illustration,2,1990,Achat à l'artiste en 1991,160 x 120 cm,Impression offset,1990,1991,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4558,Roman CIESLEWICZ,française depuis 1971 (polonaise à la naissance),"1930, Lwow (Pologne) - 1996, Malakoff (Hauts-de-Seine, France)",Affiche Exposition Jane Evelyn Atwood,Design Graphique/ Illustration,2,1990,Achat à l'artiste en 1991,"80,2 x 60 cm",Impression offset,1990,1991,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4559,Ross LOVEGROVE,britannique,"1958, Cardiff (Royaume-Uni)","London Underground, Station Plan",Design Graphique/ Illustration,2,1990,Achat à Ross Lovegrove en 2017,"21 x 29,7 cm",Crayon de couleur sur papier,1990,2017,Achat,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4560,Aldo ROSSI,italienne,"1931, Milan (Italie) - 1997, Milan (Italie)",Fauteuil Parigi,Mobilier,1,1990,Don de M. Carlo Molteni en 1992,88 x 75 x 95 cm,"Métal laqué, mousse de polyuréthane (PU) à peau intégrée",1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4561,Dominique PERRAULT,française,"1953, Clermont-Ferrand (Puy-de-Dôme, France)",Tapis,Mobilier,1,vers 1990,Don de l'artiste en 2003,240 x 120 cm,Mailles métalliques,1990,2003,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4562,Dominique PERRAULT,française,"1953, Clermont-Ferrand (Puy-de-Dôme, France)",Tapis,Mobilier,1,vers 1990,Don de l'artiste en 2003,240 x 120 cm,Mailles métalliques: fils métalliques pliés autour de filins métalliques soudés en bordure du tapis.,1990,2003,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4563,Dominique PERRAULT,française,"1953, Clermont-Ferrand (Puy-de-Dôme, France)",Tapis,Mobilier,1,vers 1990,Don de l'artiste en 2003,,Mailles métalliques,1990,2003,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4564,Franco ALBINI,italienne,"1905, Robbiate (Italie) - 1977, Milan (Italie)",Table mod. TL.2,Mobilier,1,1990,"Don des Amis du Centre Pompidou, Groupe d’Acquisition pour le Design, 2019",70 x 180 x 70 cm,"Noyer massif, métal laqué",1990,2019,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4565,Philippe STARCK,française,"1949, Paris (Ile-de-France, France)",Table Miss Balù,Mobilier,1,1990,Don de Kartell en 2000,"hauteur: 72,5 cm
diamètre: 90 cm","Plateau en composite de polyester et fibre de verre SMC peint. Pied en polypropylène, moulage par injection",1990,2000,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4566,Ron ARAD,"israélienne, britannique","1951, Tel Aviv (Israël)",Fauteuil Big Soft Easy,Mobilier,1,1990,Don de Moroso en 1992,90 x 130 x 96 cm,PUR (mousse ployuréthane),1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/mobilier.svg,,,,
4567,ANONYME,unkown,,Affiche Distinction,Design Graphique/ Illustration,2,1980 - 1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"58,5 x 89 cm",Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4568,ANONYME,unkown,,Affiche Attention,Design Graphique/ Illustration,2,1980 - 1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"58,5 x 89 cm",Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4569,HARD WERKEN,néerlandaise,,Affiche Tijd Hard Werken...,Design Graphique/ Illustration,2,1980 - 1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,100 x 70 cm,Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4570,HARD WERKEN,néerlandaise,,Affiche Dans Produktie,Design Graphique/ Illustration,2,1980 - 1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"41 x 60,5 cm",Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4571,HARD WERKEN,néerlandaise,,Affiche Hard Werken Magazine,Design Graphique/ Illustration,2,1980 - 1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"100 x 69,5 cm",Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4572,Janusz TRZEBIATOWSKI,polonaise,"1936, Chojnice (Pologne)",Affiche Studencki Teatr Tanca Kontrast auf Krakow,Design Graphique/ Illustration,2,1980 - 1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,89 x 63 cm,Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4573,"Jean-Marc BALLÉE, Sylvain ENGUEHARD",française,,Affiche Expo,Design Graphique/ Illustration,2,1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,60 x 40 cm,Impression sur papier Arjomari diffusion,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4574,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","13,2 x 25,5 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4575,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4576,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","13 x 25,2 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4577,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","20,4 x 25,2 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4578,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4579,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","13 x 25,3 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4580,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4581,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","29,7 x 21 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4582,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4583,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4584,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","12,9 x 25,3 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4585,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","29,4 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4586,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm","Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4587,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010",21 x 25 cm,"Crayon de couleur, collage sur papier",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4588,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","29,7 x 21 cm","Crayon de couleur, collage sur papier, post it, stylo",1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4589,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010","21 x 29,7 cm",Crayon de couleur,1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4590,Jean-Philippe LENCLOS,française,"1938, Béthune (Pas-de-Calais, France)","Ladyshave de Philips, étude couleur pour rasoirs",Design Graphique/ Illustration,2,1990,"Don du designer coloriste, 2010",13 x 25 cm,Crayon de couleur sur papier,1990,2010,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4591,Luigi COLANI,allemande,"1928, Berlin (Allemagne) - 2019, Karlsruhe (Allemagne)",Le Moineau de Paris,Design Graphique/ Illustration,2,1990,Don de l'artiste en 1997,168 x 154 cm,Feutre sur papier,1990,1997,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4592,Michel FRANÇOIS,belge,"1956, Saint-Trond (Belgique)",Affiche Petite fille et bouteille,Design Graphique/ Illustration,2,1990,Don de l'artiste en 2003,180 x 120 cm,Impression sur papier,1990,2003,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4593,Michel QUAREZ,française,"1938, Damas (Syrie)",Affiche Salon international de l'Architecture,Design Graphique/ Illustration,2,1990,Don de M. Vincent Perrottet et Mme Sido Perrottet en 2017,"54,5 x 40 cm",Impression offset,1990,2017,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4594,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Identité graphique Details are not details,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"29,6 x 21 x 0,3 cm",Livret imprimé,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4595,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Identité graphique IBM-Quality,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"9 x 29,2 cm",carton brillant imprimé dans une pochette,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4596,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Identité graphique Bodoni Manual,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"25,6 x 18,3 x 2 cm",Deux volumes reliés avec couverture noire avec leur carton d’emballage blanc,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4597,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM PS/2 256 KB Cache option,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"18,7 x 17,5 x 5,4 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4598,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)","Identité graphique IBM Logo, New york",Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"21,5 x 30,5 cm",Impression offset,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4599,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Affiche IBM S/390 A New Era Begins,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"63 x 88,5 cm",Impression offset,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4600,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Affiche IBM 75,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,38 x 54 cm,Impression offset,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4601,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM PS/2 Color Display 8513,Design Graphique/ Illustration,2,1990,Don d' IBM en 1992,"40,6 x 43,5 x 46 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4602,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Identité graphique Certificate for less than 100 000 shares,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"20,3 x 33,2 cm",Tirage photographique couleur,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4603,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Office System Ribbon,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"13 x 19,5 x 8.7 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4604,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Desktop Software Current,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,20.7 x 23 x 4.8 cm,Carton imprimé,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4605,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Easystrike Multipurpose Ribbon Cassette,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"16 x 16,5 x 2,5 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4606,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Easystrike Fabric Ribbon,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"16 x 16,5 x 2,5 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4607,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Film Ribbon,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"15,7 x 7,5 x 2,6 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4608,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Color Ink Cartridge Printer,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"19,5 x 14,5 x 10,5 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4609,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM PS/2 Cache option,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"19 x 17,5 x 5,9 cm",Carton craft imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
4610,Paul RAND,américaine,"1914, New York (New York, États-Unis) - 1996, New York (New York, États-Unis)",Packaging IBM Tech III Ribbon,Design Graphique/ Illustration,2,1974 - 1990,Don d' IBM en 1992,"15,7 x 7,5 x 2,6 cm",Carton imprimé et plié,1990,1992,Don,Homme,http://localhost/Graphique%20Pompidou/Extra/graphic.svg,,,,
